"icode","n","min","max","mean","sd","product","meanpsd","meanmsd","code","realm","biome","area"
12,1358169,2852,10000,7735.499803,1128.750183,"MCD09_mean_06",8864.249986,6606.74962,"AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests",1160342.82886843
13,104288,1464,9922,5686.954386,1592.532785,"MCD09_mean_06",7279.487171,4094.421601,"AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests",88348.3176177127
14,1060843,3335,9878,6012.48069,815.468184,"MCD09_mean_06",6827.948874,5197.012506,"AA_4","Australasia","Temperate Broadleaf & Mixed Forests",736810.28289232
15,2670428,718,9316,2568.380983,1508.862899,"MCD09_mean_06",4077.243882,1059.518084,"AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands",2170611.10563935
16,865493,2299,9601,4511.469754,918.93096,"MCD09_mean_06",5430.400714,3592.538794,"AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands",631022.582964559
17,99967,3580,10000,7178.101574,1419.882005,"MCD09_mean_06",8597.983579,5758.219569,"AA_10","Australasia","Montane Grasslands & Shrublands",67647.4404677671
18,1630,6769,9467,8245.128834,593.916844,"MCD09_mean_06",8839.045678,7651.21199,"AA_11","Australasia","Tundra",876.391879628791
19,1113014,2888,8937,5318.054179,746.611803,"MCD09_mean_06",6064.665982,4571.442376,"AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub",805435.726597712
20,4626700,682,9105,2772.078885,976.525384,"MCD09_mean_06",3748.604269,1795.553501,"AA_13","Australasia","Deserts & Xeric Shrublands",3580111.63052413
21,31421,4858,9532,7688.249515,774.447619,"MCD09_mean_06",8462.697134,6913.801896,"AA_14","Australasia","Mangroves",26884.7535125501
22,6661401,2354,10000,8075.667942,1024.757303,"MCD09_mean_06",9100.425245,7050.910639,"IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests",5422854.37209134
23,1886721,4079,9950,7810.775986,976.808278,"MCD09_mean_06",8787.584264,6833.967708,"IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests",1531782.59191699
24,127677,1003,10000,6088.788513,2255.210542,"MCD09_mean_06",8343.999055,3833.577971,"IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests",95956.3882790413
25,200216,1363,10000,7659.488138,2183.46393,"MCD09_mean_06",9842.952068,5476.024208,"IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests",149970.345753284
26,90962,1060,10000,6884.327367,2844.754489,"MCD09_mean_06",9729.081856,4039.572878,"IM_5","IndoMalay","Temperate Conifer Forests",67304.1093393582
27,45388,4289,9937,6556.529655,1127.304206,"MCD09_mean_06",7683.833861,5429.225449,"IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands",34651.8762386551
28,35520,4010,8037,5763.97134,641.715076,"MCD09_mean_06",6405.686416,5122.256264,"IM_9","IndoMalay","Flooded Grasslands & Savannas",27965.061625446
29,5088,6136,9754,8343.425314,734.263781,"MCD09_mean_06",9077.689095,7609.161533,"IM_10","IndoMalay","Montane Grasslands & Shrublands",4348.58030785199
30,1396261,1216,9561,5550.504798,2104.235833,"MCD09_mean_06",7654.740631,3446.268965,"IM_13","IndoMalay","Deserts & Xeric Shrublands",1089110.26176248
31,142941,2041,10000,7949.640138,1147.748789,"MCD09_mean_06",9097.388927,6801.891349,"IM_14","IndoMalay","Mangroves",119125.2374617
32,666166,6068,10000,8420.508097,491.149917,"MCD09_mean_06",8911.658014,7929.35818,"PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests",511013.17083952
33,14778591,120,10000,6072.040583,1401.014004,"MCD09_mean_06",7473.054587,4671.026579,"PA_4","Palearctic","Temperate Broadleaf & Mixed Forests",8693080.70914956
34,2891794,524,10000,6492.023584,1593.922323,"MCD09_mean_06",8085.945907,4898.101261,"PA_5","Palearctic","Temperate Conifer Forests",1713206.30862659
35,24585235,2291,9969,5351.864253,970.931253,"MCD09_mean_06",6322.795506,4380.933,"PA_6","Palearctic","Boreal Forests/Taiga",9974753.84803102
36,8286176,30,9869,4935.057691,1224.265576,"MCD09_mean_06",6159.323267,3710.792115,"PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands",4720739.03932887
37,526657,8,7442,4000.72333,2400.360589,"MCD09_mean_06",6401.083919,1600.362741,"PA_9","Palearctic","Flooded Grasslands & Savannas",338367.403951761
38,4899545,314,10000,6071.059044,1904.476314,"MCD09_mean_06",7975.535358,4166.58273,"PA_10","Palearctic","Montane Grasslands & Shrublands",3392431.64470598
39,13143262,1251,10000,4288.364968,1300.373302,"MCD09_mean_06",5588.73827,2987.991666,"PA_11","Palearctic","Tundra",4057181.56827342
40,3015613,30,9317,2879.811653,1270.84018,"MCD09_mean_06",4150.651833,1608.971473,"PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub",2055581.75529756
41,24050469,0,10000,2133.375343,1563.005518,"MCD09_mean_06",3696.380861,570.369825,"PA_13","Palearctic","Deserts & Xeric Shrublands",17403596.330573
42,67273,539,3155,1491.854741,375.512273,"MCD09_mean_06",1867.367014,1116.342468,"NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests",51094.6339654442
43,375006,957,9497,4808.534402,1434.361105,"MCD09_mean_06",6242.895507,3374.173297,"NA_3","Nearctic","Tropical & Subtropical Coniferous Forests",289049.53675497
44,4419312,3385,8689,6214.64916,630.690591,"MCD09_mean_06",6845.339751,5583.958569,"NA_4","Nearctic","Temperate Broadleaf & Mixed Forests",2842611.26278819
45,3848773,489,10000,6175.004435,1565.187973,"MCD09_mean_06",7740.192408,4609.816462,"NA_5","Nearctic","Temperate Conifer Forests",2306573.43922857
46,11172313,1456,10000,5743.404935,1274.084357,"MCD09_mean_06",7017.489292,4469.320578,"NA_6","Nearctic","Boreal Forests/Taiga",5103136.38558615
47,107349,2049,8317,5465.826351,967.050151,"MCD09_mean_06",6432.876502,4498.7762,"NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands",80803.054655962
48,5021883,436,7508,5033.56023,1171.610616,"MCD09_mean_06",6205.170846,3861.949614,"NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands",3096877.65556798
49,14231614,455,10000,4027.002577,1607.663848,"MCD09_mean_06",5634.666425,2419.338729,"NA_11","Nearctic","Tundra",4253620.780699
50,173991,419,8585,1503.970263,727.084956,"MCD09_mean_06",2231.055219,776.885307,"NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub",121539.999692215
51,3294261,161,9597,2933.501017,1392.779881,"MCD09_mean_06",4326.280898,1540.721136,"NA_13","Nearctic","Deserts & Xeric Shrublands",2324734.02781372
52,1517251,636,8767,4062.867879,1337.216161,"MCD09_mean_06",5400.08404,2725.651718,"NA_98","Nearctic","Lake",875775.204944069
53,8274670,151,10000,2182.28953,1814.758455,"MCD09_mean_06",3997.047985,367.531075,"NA_99","Nearctic","Rock & Ice",8632669.43482529
54,11000629,903,10000,6208.910873,1565.703654,"MCD09_mean_06",7774.614527,4643.207219,"NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests",9277768.86643515
