"icode","n","min","max","mean","sd","meanpsd","meanmsd","month","code","realm","biome"
3,16677700,0,96,45.727986,25.706881,71.434867,20.021105,"02","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,5,91,13.866282,8.452695,22.318977,5.413587,"02","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547700,12,98,48.78763,18.222755,67.010385,30.564875,"02","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082121,0,100,51.572942,18.619577,70.192519,32.953365,"02","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,7,74,28.402067,12.990082,41.392149,15.411985,"02","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3035308,1,89,34.28279,17.765874,52.048664,16.516916,"02","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,13,96,55.746166,21.584604,77.33077,34.161562,"02","AT_14","Afrotropics","Mangroves"
10,182688,14,91,56.703516,14.461438,71.164954,42.242078,"02","AT_98","Afrotropics","Lake"
11,15249510,2,100,41.631346,19.390903,61.022249,22.240443,"02","AN_11","Antarctic","Tundra"
12,1358169,42,100,84.741306,7.60174,92.343046,77.139566,"02","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,44,100,84.445555,8.492073,92.937628,75.953482,"02","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,30,92,57.491652,10.226729,67.718381,47.264923,"02","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,33,94,65.409496,10.443263,75.852759,54.966233,"02","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,27,95,46.009246,7.38076,53.390006,38.628486,"02","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,39,100,66.254024,17.112053,83.366077,49.141971,"02","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,62,94,83.399387,5.925308,89.324695,77.474079,"02","AA_11","Australasia","Tundra"
19,1113014,14,81,35.434193,6.186654,41.620847,29.247539,"02","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,14,72,39.169046,7.285236,46.454282,31.88381,"02","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,62,95,79.460934,5.42868,84.889614,74.032254,"02","AA_14","Australasia","Mangroves"
22,6661401,3,100,54.207199,29.490818,83.698017,24.716381,"02","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886718,3,90,24.798292,16.26312,41.061412,8.535172,"02","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,17,100,45.763873,16.512625,62.276498,29.251248,"02","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,17,100,57.406066,15.921891,73.327957,41.484175,"02","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,19,100,56.000814,16.585991,72.586805,39.414823,"02","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,17,79,24.64863,3.98656,28.63519,20.66207,"02","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,4,81,12.211177,6.133285,18.344462,6.077892,"02","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,73,99,88.810928,5.716659,94.527587,83.094269,"02","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396254,2,65,22.55622,12.353447,34.909667,10.202773,"02","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142939,2,97,43.372425,29.348353,72.720778,14.024072,"02","IM_14","IndoMalay","Mangroves"
32,666166,14,94,61.023961,23.711402,84.735363,37.312559,"02","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778591,17,100,64.83601,15.246536,80.082546,49.589474,"02","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,15,100,57.058426,18.56293,75.621356,38.495496,"02","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,4,100,48.851919,17.021285,65.873204,31.830634,"02","NA_5","Nearctic","Temperate Conifer Forests"
36,8286176,14,100,51.96867,16.228715,68.197385,35.739955,"02","NA_6","Nearctic","Boreal Forests/Taiga"
37,526657,7,72,32.238497,9.62828,41.866777,22.610217,"02","NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands"
38,4899545,13,100,54.880955,14.690164,69.571119,40.190791,"02","NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands"
39,13143257,2,100,59.879784,19.063586,78.94337,40.816198,"02","NA_11","Nearctic","Tundra"
40,3015613,17,100,55.096373,12.911664,68.008037,42.184709,"02","NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub"
41,24049588,1,100,31.827725,16.248721,48.076446,15.579004,"02","NA_13","Nearctic","Deserts & Xeric Shrublands"
42,67273,22,39,30.076717,2.215877,32.292594,27.86084,"02","NA_98","Nearctic","Lake"
43,375006,20,82,33.19152,5.389379,38.580899,27.802141,"02","NA_99","Nearctic","Rock & Ice"
44,4419312,40,97,66.732111,8.030075,74.762186,58.702036,"02","NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests"
45,3848773,27,100,63.701276,9.557212,73.258488,54.144064,"02","NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests"
46,11172313,18,100,52.819914,13.074932,65.894846,39.744982,"02","NT_3","Neotropics","Tropical & Subtropical Coniferous Forests"
47,107349,47,71,61.890702,4.260175,66.150877,57.630527,"02","NT_4","Neotropics","Temperate Broadleaf & Mixed Forests"
48,5021883,28,87,53.280243,6.547904,59.828147,46.732339,"02","NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
49,14231614,7,100,57.810346,16.032788,73.843134,41.777558,"02","NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands"
50,173991,29,94,48.786098,5.877046,54.663144,42.909052,"02","NT_9","Neotropics","Flooded Grasslands & Savannas"
51,3294261,17,100,41.609568,11.709065,53.318633,29.900503,"02","NT_10","Neotropics","Montane Grasslands & Shrublands"
52,1517251,19,99,66.877083,9.802167,76.67925,57.074916,"02","NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub"
53,79299783,0,100,15.055445,21.06118,36.116625,-6.005735,"02","NT_13","Neotropics","Deserts & Xeric Shrublands"
54,11000629,10,100,78.835484,11.30544,90.140924,67.530044,"02","NT_14","Neotropics","Mangroves"
55,1386714,5,100,56.349506,23.769563,80.119069,32.579943,"02","NT_98","Neotropics","Lake"
56,399192,9,100,41.742207,16.615635,58.357842,25.126572,"02","NT_99","Neotropics","Rock & Ice"
57,690956,3,100,59.449033,23.090633,82.539666,36.3584,"02","OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests"
58,4946417,20,97,68.687432,11.81053,80.497962,56.876902,"02","OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests"
59,2478959,13,100,42.540542,11.68615,54.226692,30.854392,"02","OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands"
60,340291,14,96,63.388147,10.830274,74.218421,52.557873,"02","PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests"
61,1103938,3,100,54.036337,25.331357,79.367694,28.70498,"02","PA_4","Palearctic","Temperate Broadleaf & Mixed Forests"
62,202756,0,48,10.882879,7.696492,18.579371,3.186387,"02","PA_5","Palearctic","Temperate Conifer Forests"
63,1401083,4,100,64.095979,22.051951,86.14793,42.044028,"02","PA_6","Palearctic","Boreal Forests/Taiga"
64,151413,5,97,51.998296,21.122297,73.120593,30.875999,"02","PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands"
65,9721,27,83,51.481432,10.30703,61.788462,41.174402,"02","PA_9","Palearctic","Flooded Grasslands & Savannas"
66,31283,53,100,93.849695,7.951304,101.800999,85.898391,"02","PA_10","Palearctic","Montane Grasslands & Shrublands"
67,35354,23,100,73.812355,12.817026,86.629381,60.995329,"02","PA_11","Palearctic","Tundra"
68,18023,24,97,68.381623,14.96923,83.350853,53.412393,"02","PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub"
69,4200,19,89,42.240952,10.881292,53.122244,31.35966,"02","PA_13","Palearctic","Deserts & Xeric Shrublands"
